image_path,label,face_array
src/dataset\Alan_Grant\159794291-288-k225882.jpg,Alan_Grant,"[[[0.64705884 0.3529412  0.38431373]
  [0.6431373  0.35686275 0.3882353 ]
  [0.6313726  0.36078432 0.38431373]
  ...
  [0.6117647  0.58431375 0.6745098 ]
  [0.5803922  0.5568628  0.654902  ]
  [0.56078434 0.5411765  0.64705884]]

 [[0.6666667  0.36078432 0.39215687]
  [0.65882355 0.3647059  0.4       ]
  [0.6392157  0.3647059  0.39607844]
  ...
  [0.63529414 0.5921569  0.69803923]
  [0.59607846 0.56078434 0.67058825]
  [0.627451   0.60784316 0.72156864]]

 [[0.67058825 0.33333334 0.38039216]
  [0.6745098  0.3529412  0.40784314]
  [0.6509804  0.36078432 0.4117647 ]
  ...
  [0.56078434 0.5058824  0.6313726 ]
  [0.5647059  0.5137255  0.6392157 ]
  [0.5411765  0.50980395 0.627451  ]]

 ...

 [[0.6392157  0.4745098  0.30980393]
  [0.6862745  0.52156866 0.35686275]
  [0.7294118  0.5647059  0.4       ]
  ...
  [0.12941177 0.08235294 0.02352941]
  [0.13725491 0.08627451 0.01960784]
  [0.13333334 0.09803922 0.00784314]]

 [[0.62352943 0.45882353 0.29411766]
  [0.6901961  0.5254902  0.36078432]
  [0.7254902  0.56078434 0.39607844]
  ...
  [0.13725491 0.08627451 0.02352941]
  [0.13333334 0.09411765 0.02352941]
  [0.1254902  0.09411765 0.00392157]]

 [[0.60784316 0.44313726 0.2784314 ]
  [0.6784314  0.5137255  0.34901962]
  [0.6862745  0.52156866 0.35686275]
  ...
  [0.13725491 0.09411765 0.02352941]
  [0.14117648 0.10196079 0.03137255]
  [0.12941177 0.09803922 0.00784314]]]"
src/dataset\Alan_Grant\2213_00121_tall.jpg,Alan_Grant,"[[[0.37254903 0.30588236 0.27058825]
  [0.3137255  0.2627451  0.21176471]
  [0.3764706  0.33333334 0.2784314 ]
  ...
  [0.6313726  0.59607846 0.69803923]
  [0.5647059  0.5294118  0.6313726 ]
  [0.5137255  0.49019608 0.56078434]]

 [[0.4509804  0.41568628 0.38039216]
  [0.38431373 0.34901962 0.29803923]
  [0.3372549  0.3019608  0.23921569]
  ...
  [0.5176471  0.49019608 0.5803922 ]
  [0.49803922 0.47058824 0.54901963]
  [0.42745098 0.40784314 0.44313726]]

 [[0.5647059  0.53333336 0.5254902 ]
  [0.43137255 0.39607844 0.35686275]
  [0.36078432 0.32156864 0.2627451 ]
  ...
  [0.4627451  0.4392157  0.49803922]
  [0.49803922 0.4745098  0.5294118 ]
  [0.45882353 0.43137255 0.4627451 ]]

 ...

 [[0.83137256 0.6862745  0.5529412 ]
  [0.79607844 0.6509804  0.5019608 ]
  [0.7490196  0.6039216  0.44313726]
  ...
  [0.12156863 0.09411765 0.01568628]
  [0.14901961 0.12156863 0.02352941]
  [0.1882353  0.13333334 0.02745098]]

 [[0.7764706  0.627451   0.49803922]
  [0.75686276 0.60784316 0.47058824]
  [0.7254902  0.57254905 0.42352942]
  ...
  [0.13333334 0.09803922 0.01960784]
  [0.12941177 0.09019608 0.        ]
  [0.17254902 0.12156863 0.01568628]]

 [[0.8        0.6509804  0.5176471 ]
  [0.7607843  0.6039216  0.46666667]
  [0.76862746 0.6039216  0.4627451 ]
  ...
  [0.1254902  0.08235294 0.00784314]
  [0.14509805 0.09803922 0.00392157]
  [0.16862746 0.11764706 0.01568628]]]"
src/dataset\Alan_Grant\2213_00121_tall.jpg,Alan_Grant,"[[[0.56078434 0.49019608 0.5529412 ]
  [0.5647059  0.49019608 0.5686275 ]
  [0.5803922  0.5058824  0.5921569 ]
  ...
  [1.         0.9607843  0.99607843]
  [0.99607843 0.9647059  0.99215686]
  [0.99607843 0.9647059  0.99215686]]

 [[0.5372549  0.4627451  0.53333336]
  [0.54901963 0.47843137 0.56078434]
  [0.56078434 0.49411765 0.5803922 ]
  ...
  [0.99607843 0.95686275 1.        ]
  [1.         0.9647059  1.        ]
  [0.99607843 0.9647059  1.        ]]

 [[0.5137255  0.44313726 0.5137255 ]
  [0.5372549  0.47058824 0.5529412 ]
  [0.54901963 0.48235294 0.57254905]
  ...
  [0.9882353  0.9411765  1.        ]
  [0.99215686 0.9490196  1.        ]
  [0.99215686 0.9490196  1.        ]]

 ...

 [[0.27450982 0.2627451  0.24313726]
  [0.26666668 0.25490198 0.23529412]
  [0.25882354 0.24705882 0.22745098]
  ...
  [0.91764706 0.83137256 0.96862745]
  [0.9098039  0.8235294  0.9607843 ]
  [0.9019608  0.8156863  0.9529412 ]]

 [[0.26666668 0.25490198 0.23529412]
  [0.2627451  0.2509804  0.23137255]
  [0.25882354 0.24705882 0.22745098]
  ...
  [0.9372549  0.85490197 0.9843137 ]
  [0.9372549  0.8509804  0.9843137 ]
  [0.93333334 0.84705883 0.98039216]]

 [[0.27058825 0.25882354 0.23921569]
  [0.2627451  0.2509804  0.23137255]
  [0.2627451  0.2509804  0.23137255]
  ...
  [0.9529412  0.87058824 1.        ]
  [0.95686275 0.8745098  1.        ]
  [0.95686275 0.8745098  1.        ]]]"
src/dataset\Alan_Grant\2213_00392_head.jpg,Alan_Grant,"[[[0.11372549 0.13725491 0.15294118]
  [0.09411765 0.11764706 0.13725491]
  [0.11372549 0.1254902  0.14901961]
  ...
  [0.46666667 0.38039216 0.31764707]
  [0.6156863  0.5647059  0.5058824 ]
  [0.7764706  0.7529412  0.69803923]]

 [[0.06666667 0.08627451 0.09803922]
  [0.07843138 0.09803922 0.10980392]
  [0.07058824 0.07058824 0.09411765]
  ...
  [0.53333336 0.42745098 0.40392157]
  [0.5294118  0.40784314 0.42352942]
  [0.6313726  0.60784316 0.5647059 ]]

 [[0.05490196 0.04313726 0.04313726]
  [0.04313726 0.03529412 0.03529412]
  [0.04313726 0.03921569 0.02745098]
  ...
  [0.7294118  0.7176471  0.6509804 ]
  [0.6784314  0.6862745  0.62352943]
  [0.6431373  0.6666667  0.6156863 ]]

 ...

 [[0.02352941 0.02745098 0.07450981]
  [0.03921569 0.03137255 0.10196079]
  [0.04705882 0.04313726 0.13725491]
  ...
  [0.3764706  0.3137255  0.21568628]
  [0.3647059  0.30588236 0.2       ]
  [0.35686275 0.29411766 0.19607843]]

 [[0.03137255 0.03137255 0.07843138]
  [0.05490196 0.04313726 0.11764706]
  [0.04705882 0.05490196 0.11372549]
  ...
  [0.36078432 0.3019608  0.2       ]
  [0.34509805 0.28627452 0.18431373]
  [0.34509805 0.28627452 0.18431373]]

 [[0.03137255 0.03137255 0.08235294]
  [0.03921569 0.03137255 0.10588235]
  [0.03137255 0.03529412 0.08235294]
  ...
  [0.35686275 0.2901961  0.20392157]
  [0.34509805 0.28235295 0.19215687]
  [0.3372549  0.27058825 0.18431373]]]"
src/dataset\Alan_Grant\2213_00392_mobile.jpg,Alan_Grant,"[[[0.1254902  0.14117648 0.16862746]
  [0.11372549 0.14509805 0.17254902]
  [0.12941177 0.11764706 0.15294118]
  ...
  [0.50980395 0.49411765 0.38039216]
  [0.42745098 0.3137255  0.2784314 ]
  [0.49803922 0.42745098 0.36078432]]

 [[0.09411765 0.11372549 0.1254902 ]
  [0.10588235 0.1254902  0.13725491]
  [0.10196079 0.12156863 0.13333334]
  ...
  [0.5568628  0.5137255  0.45490196]
  [0.7019608  0.73333335 0.6156863 ]
  [0.7529412  0.74509805 0.61960787]]

 [[0.11764706 0.11764706 0.1254902 ]
  [0.12941177 0.12941177 0.13725491]
  [0.10196079 0.10588235 0.10980392]
  ...
  [0.4117647  0.23921569 0.23921569]
  [0.52156866 0.36078432 0.36862746]
  [0.70980394 0.67058825 0.62352943]]

 ...

 [[0.05882353 0.05098039 0.13725491]
  [0.01960784 0.02352941 0.08235294]
  [0.03137255 0.04313726 0.07058824]
  ...
  [0.38039216 0.2901961  0.21960784]
  [0.38039216 0.28235295 0.21176471]
  [0.38039216 0.2901961  0.21960784]]

 [[0.04313726 0.04313726 0.09411765]
  [0.03137255 0.02745098 0.09019608]
  [0.03529412 0.03529412 0.10196079]
  ...
  [0.3764706  0.31764707 0.24313726]
  [0.3529412  0.28235295 0.21176471]
  [0.36078432 0.2901961  0.21176471]]

 [[0.07450981 0.03921569 0.08627451]
  [0.06666667 0.04705882 0.1254902 ]
  [0.03921569 0.03921569 0.10980392]
  ...
  [0.37254903 0.30588236 0.22352941]
  [0.37254903 0.29803923 0.21568628]
  [0.3647059  0.2901961  0.20784314]]]"
src/dataset\Alan_Grant\2213_00543_quote.jpg,Alan_Grant,"[[[0.29411766 0.30588236 0.22745098]
  [0.26666668 0.26666668 0.1882353 ]
  [0.25490198 0.25882354 0.18039216]
  ...
  [0.6117647  0.6039216  0.6784314 ]
  [0.5921569  0.5921569  0.67058825]
  [0.56078434 0.5647059  0.6627451 ]]

 [[0.2627451  0.27058825 0.1882353 ]
  [0.2627451  0.28627452 0.20392157]
  [0.23529412 0.24705882 0.16862746]
  ...
  [0.6156863  0.5921569  0.67058825]
  [0.6431373  0.627451   0.68235296]
  [0.64705884 0.65882355 0.6901961 ]]

 [[0.3764706  0.35686275 0.28235295]
  [0.2509804  0.26666668 0.18431373]
  [0.22745098 0.24705882 0.16470589]
  ...
  [0.45490196 0.43529412 0.5529412 ]
  [0.4862745  0.46666667 0.5764706 ]
  [0.54509807 0.53333336 0.62352943]]

 ...

 [[0.21960784 0.23921569 0.18039216]
  [0.21960784 0.23921569 0.18039216]
  [0.22745098 0.24705882 0.1882353 ]
  ...
  [0.8352941  0.78431374 0.5176471 ]
  [0.8392157  0.7882353  0.52156866]
  [0.84705883 0.79607844 0.5294118 ]]

 [[0.23137255 0.2509804  0.19215687]
  [0.21960784 0.24705882 0.1882353 ]
  [0.21960784 0.24313726 0.18431373]
  ...
  [0.84313726 0.7921569  0.5254902 ]
  [0.83137256 0.78039217 0.5137255 ]
  [0.827451   0.7764706  0.50980395]]

 [[0.25490198 0.27450982 0.21568628]
  [0.22352941 0.25490198 0.19215687]
  [0.20784314 0.24313726 0.18039216]
  ...
  [0.8352941  0.78431374 0.5176471 ]
  [0.8352941  0.78431374 0.5176471 ]
  [0.84705883 0.79607844 0.5294118 ]]]"
src/dataset\Alan_Grant\41I4Mqz9gSL._SR6002C315_PIWhiteStrip2CBottomLeft2C02C35_SCLZZZZZZZ_.jpg,Alan_Grant,"[[[0.34117648 0.29803923 0.3372549 ]
  [0.3137255  0.27058825 0.30980393]
  [0.2901961  0.24705882 0.28627452]
  ...
  [0.9843137  0.9529412  0.94509804]
  [1.         0.99607843 0.9843137 ]
  [1.         0.99607843 0.99607843]]

 [[0.3254902  0.29411766 0.32156864]
  [0.34117648 0.30980393 0.3372549 ]
  [0.32941177 0.29803923 0.3254902 ]
  ...
  [0.8509804  0.8        0.7764706 ]
  [0.95686275 0.92156863 0.90588236]
  [1.         1.         0.9882353 ]]

 [[0.29803923 0.26666668 0.29411766]
  [0.32156864 0.29411766 0.31764707]
  [0.30980393 0.2784314  0.30588236]
  ...
  [0.6313726  0.5647059  0.5372549 ]
  [0.85490197 0.80784315 0.78431374]
  [0.972549   0.9607843  0.9372549 ]]

 ...

 [[0.17254902 0.16078432 0.22352941]
  [0.16078432 0.14901961 0.21176471]
  [0.15686275 0.14117648 0.20392157]
  ...
  [0.47843137 0.38431373 0.3372549 ]
  [0.48235294 0.3882353  0.34117648]
  [0.47843137 0.38431373 0.3372549 ]]

 [[0.16470589 0.14509805 0.21176471]
  [0.14117648 0.12156863 0.19215687]
  [0.1764706  0.15294118 0.22745098]
  ...
  [0.4745098  0.38039216 0.33333334]
  [0.46666667 0.3764706  0.32941177]
  [0.4627451  0.3647059  0.31764707]]

 [[0.10588235 0.08235294 0.14901961]
  [0.16078432 0.13725491 0.21176471]
  [0.20392157 0.18039216 0.25882354]
  ...
  [0.4627451  0.36862746 0.32156864]
  [0.4509804  0.35686275 0.30980393]
  [0.44313726 0.34901962 0.3019608 ]]]"
src/dataset\Alan_Grant\7b4cf8f997ec1f111d271da9f1172859.jpg,Alan_Grant,"[[[0.34901962 0.56078434 0.74509805]
  [0.34901962 0.56078434 0.74509805]
  [0.34901962 0.5568628  0.7490196 ]
  ...
  [0.16470589 0.3019608  0.39607844]
  [0.17254902 0.30588236 0.4       ]
  [0.1764706  0.30980393 0.4       ]]

 [[0.34901962 0.5568628  0.74509805]
  [0.34901962 0.5568628  0.74509805]
  [0.34901962 0.5529412  0.7490196 ]
  ...
  [0.16862746 0.30588236 0.4       ]
  [0.1764706  0.30980393 0.4       ]
  [0.18039216 0.3137255  0.40392157]]

 [[0.3529412  0.54901963 0.7411765 ]
  [0.3529412  0.54901963 0.7411765 ]
  [0.34901962 0.54509807 0.74509805]
  ...
  [0.1764706  0.30980393 0.40784314]
  [0.18039216 0.3137255  0.40784314]
  [0.18039216 0.31764707 0.40784314]]

 ...

 [[0.14117648 0.25882354 0.39607844]
  [0.13333334 0.2509804  0.3882353 ]
  [0.10980392 0.22352941 0.36078432]
  ...
  [0.07450981 0.17254902 0.21176471]
  [0.08627451 0.19607843 0.23137255]
  [0.09019608 0.20392157 0.23921569]]

 [[0.15686275 0.2627451  0.40392157]
  [0.14901961 0.25490198 0.39607844]
  [0.12156863 0.22745098 0.36862746]
  ...
  [0.0627451  0.15294118 0.19607843]
  [0.0627451  0.16470589 0.20392157]
  [0.06666667 0.16862746 0.20392157]]

 [[0.16470589 0.26666668 0.40784314]
  [0.15686275 0.25882354 0.4       ]
  [0.12941177 0.23137255 0.37254903]
  ...
  [0.05490196 0.14117648 0.18431373]
  [0.05098039 0.14509805 0.1882353 ]
  [0.05098039 0.14901961 0.1882353 ]]]"
src/dataset\Alan_Grant\7c33e1989c7c15c1880bc4fa7cd4c054.jpg,Alan_Grant,"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.60784316 0.5294118  0.39215687]
  [0.5921569  0.5137255  0.3764706 ]
  [0.5803922  0.49803922 0.37254903]
  ...
  [0.07843138 0.1254902  0.27450982]
  [0.07450981 0.11372549 0.25882354]
  [0.07450981 0.10588235 0.24313726]]

 [[0.6117647  0.5372549  0.39607844]
  [0.6        0.5254902  0.38039216]
  [0.58431375 0.50980395 0.36862746]
  ...
  [0.06666667 0.12156863 0.27058825]
  [0.05882353 0.11372549 0.25490198]
  [0.07058824 0.10196079 0.24705882]]

 [[0.6156863  0.5411765  0.4       ]
  [0.6        0.5254902  0.38039216]
  [0.58431375 0.50980395 0.36862746]
  ...
  [0.06666667 0.12156863 0.2627451 ]
  [0.05490196 0.10980392 0.2509804 ]
  [0.06666667 0.10196079 0.23529412]]]"
src/dataset\Alan_Grant\Alan-Grant.png,Alan_Grant,"[[[0.29411766 0.31764707 0.40392157]
  [0.27058825 0.29411766 0.38039216]
  [0.23529412 0.25882354 0.34509805]
  ...
  [0.32156864 0.34901962 0.34509805]
  [0.3254902  0.35686275 0.34509805]
  [0.34117648 0.37254903 0.35686275]]

 [[0.2509804  0.26666668 0.35686275]
  [0.22745098 0.24313726 0.32941177]
  [0.20392157 0.21960784 0.30588236]
  ...
  [0.3019608  0.34901962 0.3254902 ]
  [0.31764707 0.3647059  0.33333334]
  [0.3372549  0.38039216 0.3529412 ]]

 [[0.20392157 0.21960784 0.3019608 ]
  [0.19607843 0.21176471 0.29803923]
  [0.19215687 0.20784314 0.29411766]
  ...
  [0.29803923 0.34509805 0.32156864]
  [0.30588236 0.35686275 0.3254902 ]
  [0.3254902  0.37254903 0.34117648]]

 ...

 [[0.07058824 0.07450981 0.27450982]
  [0.12156863 0.13725491 0.30588236]
  [0.16862746 0.19215687 0.34901962]
  ...
  [0.27450982 0.36078432 0.30588236]
  [0.28627452 0.36862746 0.3137255 ]
  [0.29803923 0.38039216 0.3254902 ]]

 [[0.06666667 0.06666667 0.27450982]
  [0.10980392 0.1254902  0.3019608 ]
  [0.15686275 0.1764706  0.34117648]
  ...
  [0.2627451  0.3529412  0.29803923]
  [0.27450982 0.35686275 0.30588236]
  [0.2901961  0.37254903 0.32156864]]

 [[0.05882353 0.04705882 0.2901961 ]
  [0.09803922 0.09411765 0.32156864]
  [0.14117648 0.14117648 0.36078432]
  ...
  [0.23921569 0.34509805 0.29411766]
  [0.24313726 0.34901962 0.3019608 ]
  [0.24705882 0.3529412  0.30980393]]]"
